Date,Country,City,Street,Type,Subtype,Location
,FR,Palaiseau,Avenue de Stalingrad,HAZARD,HAZARD_ON_ROAD_POT_HOLE,Point(2.258496 48.714118)
,FR,Saulx-les-Chartreux,Rue Joliot-Curie,HAZARD,HAZARD_ON_ROAD_POT_HOLE,Point(2.277573 48.685614)
,FR,Orsay,Rue Georges Clemenceau,HAZARD,HAZARD_ON_ROAD_POT_HOLE,Point(2.182369 48.698089)
,FR,Verrières-le-Buisson,Rue Marius Hue,HAZARD,HAZARD_ON_ROAD_POT_HOLE,Point(2.277132 48.741884)
,FR,Wissous,Rue Marcellin Berthelot,HAZARD,HAZARD_ON_ROAD_POT_HOLE,Point(2.318772 48.741108)
,FR,Linas,Rue de Guillerville,HAZARD,HAZARD_ON_ROAD_POT_HOLE,Point(2.265203 48.635856)
,FR,Igny,D60,HAZARD,HAZARD_ON_ROAD_POT_HOLE,Point(2.231723 48.738079)
,FR,Igny,Avenue Jean Jaurès,HAZARD,HAZARD_ON_ROAD_POT_HOLE,Point(2.235832 48.737045)
,FR,Longjumeau,Rue du Président François Mitterrand,HAZARD,HAZARD_ON_ROAD_POT_HOLE,Point(2.296398 48.701417)
,FR,La Ville-du-Bois,Voie des Postes,HAZARD,HAZARD_ON_ROAD_POT_HOLE,Point(2.275022 48.661054)
,FR,Igny,,HAZARD,HAZARD_ON_ROAD_POT_HOLE,Point(2.230503 48.737903)
,FR,Orsay,Rue Georges Clemenceau,HAZARD,HAZARD_ON_ROAD_POT_HOLE,Point(2.182065 48.698176)
,FR,Longjumeau,Rue de Gravigny,HAZARD,HAZARD_ON_ROAD_POT_HOLE,Point(2.306859 48.696017)
,FR,Longjumeau,Avenue de l'Abbé Pierre,HAZARD,HAZARD_ON_ROAD_POT_HOLE,Point(2.301722 48.698077)
,FR,Les Ulis,Avenue du Canada,HAZARD,HAZARD_ON_ROAD_POT_HOLE,Point(2.191974 48.685034)
,FR,Villebon-sur-Yvette,Avenue de la Plesse,HAZARD,HAZARD_ON_ROAD_POT_HOLE,Point(2.253875 48.703164)
,FR,Les Ulis,Avenue des Tropiques,HAZARD,HAZARD_ON_ROAD_POT_HOLE,Point(2.190776 48.684631)
