Date,Country,City,Street,Type,Subtype,Location
8 févr. 2024,FR,Orsay,Route de Montlhéry,HAZARD,HAZARD_ON_ROAD_TRAFFIC_LIGHT_FAULT,Point(2.187998 48.685087)
7 févr. 2024,FR,Longjumeau,Rue de Chilly,HAZARD,HAZARD_ON_ROAD_TRAFFIC_LIGHT_FAULT,Point(2.298246 48.697741)
5 févr. 2024,FR,Palaiseau,Rue Maurice Berteaux,HAZARD,HAZARD_ON_ROAD_TRAFFIC_LIGHT_FAULT,Point(2.246587 48.720744)
3 févr. 2024,FR,Orsay,Allée Alfred Pohu,HAZARD,HAZARD_ON_ROAD_TRAFFIC_LIGHT_FAULT,Point(2.178975 48.677699)
3 févr. 2024,FR,La Ville-du-Bois,N20,HAZARD,HAZARD_ON_ROAD_TRAFFIC_LIGHT_FAULT,Point(2.279497 48.669362)
2 févr. 2024,FR,Palaiseau,Rue Charles Lecoq,HAZARD,HAZARD_ON_ROAD_TRAFFIC_LIGHT_FAULT,Point(2.204579 48.706219)
1 févr. 2024,FR,Palaiseau,Rue Charles Lecoq,HAZARD,HAZARD_ON_ROAD_TRAFFIC_LIGHT_FAULT,Point(2.204716 48.706209)
1 févr. 2024,FR,Orsay,Rue Louis de Broglie,HAZARD,HAZARD_ON_ROAD_TRAFFIC_LIGHT_FAULT,Point(2.176327 48.707892)
31 janv. 2024,FR,Palaiseau,Rue Charles Lecoq,HAZARD,HAZARD_ON_ROAD_TRAFFIC_LIGHT_FAULT,Point(2.204577 48.706219)
30 janv. 2024,FR,Palaiseau,Rue Charles Lecoq,HAZARD,HAZARD_ON_ROAD_TRAFFIC_LIGHT_FAULT,Point(2.204665 48.706215)
30 janv. 2024,FR,Orsay,Rue Sophie Germain,HAZARD,HAZARD_ON_ROAD_TRAFFIC_LIGHT_FAULT,Point(2.172636 48.711598)
29 janv. 2024,FR,Orsay,,HAZARD,HAZARD_ON_ROAD_TRAFFIC_LIGHT_FAULT,Point(2.172643 48.712027)
29 janv. 2024,FR,Villebon-sur-Yvette,D59,HAZARD,HAZARD_ON_ROAD_TRAFFIC_LIGHT_FAULT,Point(2.256269 48.704402)
29 janv. 2024,FR,Palaiseau,Rue Charles Lecoq,HAZARD,HAZARD_ON_ROAD_TRAFFIC_LIGHT_FAULT,Point(2.204674 48.706214)
29 janv. 2024,FR,Villebon-sur-Yvette,D59,HAZARD,HAZARD_ON_ROAD_TRAFFIC_LIGHT_FAULT,Point(2.257248 48.704511)
28 janv. 2024,FR,Villebon-sur-Yvette,D59,HAZARD,HAZARD_ON_ROAD_TRAFFIC_LIGHT_FAULT,Point(2.256898 48.704407)
25 janv. 2024,FR,Orsay,Rue Nicolas Appert,HAZARD,HAZARD_ON_ROAD_TRAFFIC_LIGHT_FAULT,Point(2.176477 48.710627)
24 janv. 2024,FR,Palaiseau,Avenue de la Vauve,HAZARD,HAZARD_ON_ROAD_TRAFFIC_LIGHT_FAULT,Point(2.201544 48.712275)
24 janv. 2024,FR,Verrières-le-Buisson,Avenue Georges Pompidou,HAZARD,HAZARD_ON_ROAD_TRAFFIC_LIGHT_FAULT,Point(2.27829 48.749663)
24 janv. 2024,FR,Verrières-le-Buisson,Avenue Georges Pompidou,HAZARD,HAZARD_ON_ROAD_TRAFFIC_LIGHT_FAULT,Point(2.27937 48.748616)
24 janv. 2024,FR,La Ville-du-Bois,Avenue de la Division Leclerc,HAZARD,HAZARD_ON_ROAD_TRAFFIC_LIGHT_FAULT,Point(2.278724 48.667392)
24 janv. 2024,FR,Verrières-le-Buisson,Avenue Georges Pompidou,HAZARD,HAZARD_ON_ROAD_TRAFFIC_LIGHT_FAULT,Point(2.278835 48.749031)
24 janv. 2024,FR,Verrières-le-Buisson,Avenue Georges Pompidou,HAZARD,HAZARD_ON_ROAD_TRAFFIC_LIGHT_FAULT,Point(2.278097 48.750038)
24 janv. 2024,FR,Orsay,Rue Sophie Germain,HAZARD,HAZARD_ON_ROAD_TRAFFIC_LIGHT_FAULT,Point(2.172637 48.71145)
23 janv. 2024,FR,Orsay,,HAZARD,HAZARD_ON_ROAD_TRAFFIC_LIGHT_FAULT,Point(2.172648 48.712204)
23 janv. 2024,FR,Orsay,Rue Sophie Germain,HAZARD,HAZARD_ON_ROAD_TRAFFIC_LIGHT_FAULT,Point(2.17264 48.711012)
23 janv. 2024,FR,Verrières-le-Buisson,Avenue Georges Pompidou,HAZARD,HAZARD_ON_ROAD_TRAFFIC_LIGHT_FAULT,Point(2.279136 48.74879)
22 janv. 2024,FR,Les Ulis,Avenue des Tropiques,HAZARD,HAZARD_ON_ROAD_TRAFFIC_LIGHT_FAULT,Point(2.189085 48.684535)
22 janv. 2024,FR,Orsay,,HAZARD,HAZARD_ON_ROAD_TRAFFIC_LIGHT_FAULT,Point(2.172647 48.712184)
20 janv. 2024,FR,Orsay,Rue Sophie Germain,HAZARD,HAZARD_ON_ROAD_TRAFFIC_LIGHT_FAULT,Point(2.172635 48.711654)
19 janv. 2024,FR,Orsay,Route de Montlhéry,HAZARD,HAZARD_ON_ROAD_TRAFFIC_LIGHT_FAULT,Point(2.188145 48.684954)
19 janv. 2024,FR,Orsay,Route de Montlhéry,HAZARD,HAZARD_ON_ROAD_TRAFFIC_LIGHT_FAULT,Point(2.188019 48.68504)
18 janv. 2024,FR,Villebon-sur-Yvette,Rue du Grand Dôme,HAZARD,HAZARD_ON_ROAD_TRAFFIC_LIGHT_FAULT,Point(2.224143 48.692104)
18 janv. 2024,FR,Orsay,,HAZARD,HAZARD_ON_ROAD_TRAFFIC_LIGHT_FAULT,Point(2.172685 48.71324)
18 janv. 2024,FR,Orsay,Route de Montlhéry,HAZARD,HAZARD_ON_ROAD_TRAFFIC_LIGHT_FAULT,Point(2.187987 48.685112)
17 janv. 2024,FR,Palaiseau,Avenue du 8 Mai 1945,HAZARD,HAZARD_ON_ROAD_TRAFFIC_LIGHT_FAULT,Point(2.244971 48.711639)
17 janv. 2024,FR,Palaiseau,Rue du Docteur Morère,HAZARD,HAZARD_ON_ROAD_TRAFFIC_LIGHT_FAULT,Point(2.245891 48.711281)
17 janv. 2024,FR,Villebon-sur-Yvette,Rue du Grand Dôme,HAZARD,HAZARD_ON_ROAD_TRAFFIC_LIGHT_FAULT,Point(2.224769 48.69164)
16 janv. 2024,FR,Villebon-sur-Yvette,Rue du Grand Dôme,HAZARD,HAZARD_ON_ROAD_TRAFFIC_LIGHT_FAULT,Point(2.223366 48.692457)
16 janv. 2024,FR,Palaiseau,Boulevard Thomas Gobert,HAZARD,HAZARD_ON_ROAD_TRAFFIC_LIGHT_FAULT,Point(2.200965 48.712261)
16 janv. 2024,FR,Villebon-sur-Yvette,Rue du Grand Dôme,HAZARD,HAZARD_ON_ROAD_TRAFFIC_LIGHT_FAULT,Point(2.224987 48.691468)
15 janv. 2024,FR,Igny,,HAZARD,HAZARD_ON_ROAD_TRAFFIC_LIGHT_FAULT,Point(2.237609 48.735745)
15 janv. 2024,FR,Les Ulis,Avenue des Tropiques,HAZARD,HAZARD_ON_ROAD_TRAFFIC_LIGHT_FAULT,Point(2.189253 48.684523)
11 janv. 2024,FR,Wissous,Route d'Antony,HAZARD,HAZARD_ON_ROAD_TRAFFIC_LIGHT_FAULT,Point(2.320137 48.741533)
11 janv. 2024,FR,Saclay,D446,HAZARD,HAZARD_ON_ROAD_TRAFFIC_LIGHT_FAULT,Point(2.162727 48.730104)
11 janv. 2024,FR,Palaiseau,Boulevard Thomas Gobert,HAZARD,HAZARD_ON_ROAD_TRAFFIC_LIGHT_FAULT,Point(2.199959 48.712377)
6 janv. 2024,FR,La Ville-du-Bois,Avenue de la Division Leclerc,HAZARD,HAZARD_ON_ROAD_TRAFFIC_LIGHT_FAULT,Point(2.278064 48.665667)
4 janv. 2024,FR,Orsay,Avenue de Montjay,HAZARD,HAZARD_ON_ROAD_TRAFFIC_LIGHT_FAULT,Point(2.18622 48.685086)
3 janv. 2024,FR,La Ville-du-Bois,Chemin de Lunézy,HAZARD,HAZARD_ON_ROAD_TRAFFIC_LIGHT_FAULT,Point(2.253226 48.665817)
2 janv. 2024,FR,Orsay,Rue de la Ferme,HAZARD,HAZARD_ON_ROAD_TRAFFIC_LIGHT_FAULT,Point(2.183721 48.6848)
2 janv. 2024,FR,Orsay,Rue de la Ferme,HAZARD,HAZARD_ON_ROAD_TRAFFIC_LIGHT_FAULT,Point(2.184248 48.684727)
2 janv. 2024,FR,Longjumeau,Place de l'Église,HAZARD,HAZARD_ON_ROAD_TRAFFIC_LIGHT_FAULT,Point(2.293825 48.692964)
2 janv. 2024,FR,Ballainvilliers,Avenue de la Division Leclerc,HAZARD,HAZARD_ON_ROAD_TRAFFIC_LIGHT_FAULT,Point(2.27805 48.665327)
23 déc. 2023,FR,Villebon-sur-Yvette,Chemin des Foulons,HAZARD,HAZARD_ON_ROAD_TRAFFIC_LIGHT_FAULT,Point(2.23574 48.700734)
22 déc. 2023,FR,Palaiseau,Boulevard Thomas Gobert,HAZARD,HAZARD_ON_ROAD_TRAFFIC_LIGHT_FAULT,Point(2.202339 48.712114)
22 déc. 2023,FR,Palaiseau,Avenue de la Vauve,HAZARD,HAZARD_ON_ROAD_TRAFFIC_LIGHT_FAULT,Point(2.201609 48.71253)
20 déc. 2023,FR,Orsay,Route de Montlhéry,HAZARD,HAZARD_ON_ROAD_TRAFFIC_LIGHT_FAULT,Point(2.187779 48.685522)
18 déc. 2023,FR,Palaiseau,Boulevard de la Grande Ceinture,HAZARD,HAZARD_ON_ROAD_TRAFFIC_LIGHT_FAULT,Point(2.25243 48.721942)
18 déc. 2023,FR,Palaiseau,Boulevard de la Grande Ceinture,HAZARD,HAZARD_ON_ROAD_TRAFFIC_LIGHT_FAULT,Point(2.251316 48.720961)
18 déc. 2023,FR,Palaiseau,Avenue de la Vauve,HAZARD,HAZARD_ON_ROAD_TRAFFIC_LIGHT_FAULT,Point(2.201723 48.712974)
17 déc. 2023,FR,Verrières-le-Buisson,Square des Bégonias,HAZARD,HAZARD_ON_ROAD_TRAFFIC_LIGHT_FAULT,Point(2.26904 48.754057)
15 déc. 2023,FR,Villebon-sur-Yvette,,HAZARD,HAZARD_ON_ROAD_TRAFFIC_LIGHT_FAULT,Point(2.222363 48.686533)
14 déc. 2023,FR,Nozay,Route de Montlhéry,HAZARD,HAZARD_ON_ROAD_TRAFFIC_LIGHT_FAULT,Point(2.247522 48.653033)
13 déc. 2023,FR,Orsay,,HAZARD,HAZARD_ON_ROAD_TRAFFIC_LIGHT_FAULT,Point(2.188539 48.684665)
12 déc. 2023,FR,Marcoussis,Route d'Orsay,HAZARD,HAZARD_ON_ROAD_TRAFFIC_LIGHT_FAULT,Point(2.216739 48.64936)
12 déc. 2023,FR,Marcoussis,Route d'Orsay,HAZARD,HAZARD_ON_ROAD_TRAFFIC_LIGHT_FAULT,Point(2.215386 48.650709)
11 déc. 2023,FR,Palaiseau,Résidence du Parc de l'Effort Mutuel,HAZARD,HAZARD_ON_ROAD_TRAFFIC_LIGHT_FAULT,Point(2.239578 48.72696)
11 déc. 2023,FR,Villiers-le-Bâcle,Route de Gif,HAZARD,HAZARD_ON_ROAD_TRAFFIC_LIGHT_FAULT,Point(2.122589 48.72668)
8 déc. 2023,FR,Palaiseau,Boulevard Nicolas Samson,HAZARD,HAZARD_ON_ROAD_TRAFFIC_LIGHT_FAULT,Point(2.238111 48.709216)
8 déc. 2023,FR,Palaiseau,Rue Camille Desmoulins,HAZARD,HAZARD_ON_ROAD_TRAFFIC_LIGHT_FAULT,Point(2.237597 48.709723)
8 déc. 2023,FR,Palaiseau,Boulevard Nicolas Samson,HAZARD,HAZARD_ON_ROAD_TRAFFIC_LIGHT_FAULT,Point(2.238328 48.709391)
